PP,PSOE,IU,CIU,EAJ-PNV,CC,BNG,HB,ERC,PA,EA,UV,LVE,CHA,UC,UPV-BN,PSM-ENE,LV-GV,CDN,PRT,PCPE,PH,PAS,FEA,UPL,ICV-GORORDO,LV,CEX,UM,TC-PNC,PRIOJANO,PEC,URCL,NA,AUN,PREPAL,SOS,CR,FREPIC,PSPC,PRCM,FPG,SIEX,PRIM,PRV,FEI,NR,AR,PICC,ENV,PB,PCN,UPRA,UAD,ADEC,VDPA,N,ALAS,ABA,PRGU,LAE,DSA,LG,PIZ,PNM,AFIT,CCV,PAE,POR
63245,46740,9784,0,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,71,143,165,0,134,0,0,0,0,0,321,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130734,84687,19526,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,226,0,227,0,171,0,0,0,0,0,183,0,0,1289,0,0,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54188,31903,8808,0,0,0,0,0,0,0,0,0,0,0,990,0,0,840,0,84,0,90,0,98,0,0,0,0,0,249,0,0,144,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32561,20226,4662,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164840,120941,42622,0,0,0,0,0,0,0,0,0,0,0,942,0,0,0,0,263,350,543,0,301,0,0,0,0,0,925,0,0,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75223,51509,7824,0,0,0,0,0,0,0,0,0,0,0,1473,0,0,0,0,108,0,132,0,0,0,0,0,0,0,77,0,0,184,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0
548323,1203339,260881,818832,0,0,0,0,114195,0,0,0,6241,0,2221,0,0,0,0,1936,0,1060,0,1296,0,0,0,0,0,0,0,3980,0,0,0,0,0,655,0,0,0,0,0,0,0,0,0,0,895,0,0,0,0,0,0,0,495,0,0,0,0,0,0,0,0,0,0,0,0
39569,120118,11038,136448,0,0,0,0,18548,0,0,0,620,0,219,0,0,0,0,273,0,219,0,131,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40463,74686,7508,88880,0,0,0,0,12615,0,0,0,0,0,154,0,0,0,0,191,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70045,133000,17558,107473,0,0,0,0,17187,0,0,0,967,0,158,0,0,0,0,242,0,127,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
