UCD,PSOE,PCE,AP,PSP-US,PDPC,PNV,FDC-EDC,UDC-IDCC,EC-FED,FDI,ASDCI,AET,AN18,RSE,EE,FJONSA,FUT,CAIC,ESB,PSPV,INDEP,PSG,DCV,FJONS,UNAI,BNPG,AFN,URA,PSOE-H,LLIGA,ANEPA-CP,UAN,PCU,DIV,CUPS,UAB,CCIA,URAS,FNI,PPCAN,DSCC,MS,MFA,ASA,CJA,INDEP,ANV,INDEP,INDEP,DCAR,INDEP,FN,CUP,PSCAN,PIM,FAA,PPROV,INDEP,ICU,PSDE,PDG,UDIB,INDEP,FL,INDEP,INDEP,INDEP,PRSV,INDEP,INDEP,AEICYU,CUIR,CIPYE,ADEC,ADC,FEI,PAE,PLI,INDEP,BAI,CAI
50270,18210,2101,7407,5330,0,0,0,0,0,361,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35324,10757,1196,3792,2911,0,0,1331,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104145,76308,15798,20521,6372,0,0,6792,0,0,2575,0,1228,4952,0,0,2813,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504,0,0,542,0,0,0,0,0,0
60626,26225,2783,30677,2597,0,0,5110,0,0,0,1516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355857,721880,469361,75097,41356,364798,0,0,127679,112794,0,8738,10017,8895,7900,0,6395,13559,0,0,0,0,0,0,0,0,0,0,0,0,9203,0,0,0,0,12040,0,0,0,0,0,9157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45231,60747,24746,7953,1673,67275,0,0,13331,6178,0,0,0,0,0,0,0,1389,0,0,0,0,0,0,0,0,0,0,0,0,10906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45191,27809,22680,10067,0,45428,0,0,17582,14118,0,0,1295,0,1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69014,59926,41345,15216,0,37146,0,0,14199,10864,0,0,1141,0,0,0,716,2219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148697,107797,21932,21880,5578,0,0,3141,0,0,0,1835,3272,3512,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115729,54827,6797,19516,4229,0,0,0,0,0,2229,0,0,0,4481,0,1193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221996,78598,16777,50256,23978,0,0,12674,0,0,2705,4728,1833,2116,2000,0,1144,1738,0,0,0,0,16660,0,0,0,8027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87059,20808,2949,36377,9466,0,0,0,0,0,544,0,0,0,2852,0,496,602,0,0,0,0,2080,0,0,0,3909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99440,21079,2627,21502,2358,0,0,3384,0,0,2347,0,0,0,2884,0,0,0,0,0,0,0,2458,0,0,0,2412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198231,54642,11835,40104,17265,0,0,6956,0,0,1777,0,891,0,1689,0,0,0,0,0,0,0,5999,0,0,0,8423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737699,731380,247038,242077,211440,0,0,34113,0,0,13328,28363,16372,0,4344,0,7345,3264,0,0,0,0,0,0,13721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2301,0,0,0,0,0,0,0,5206,0,4814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75036,54720,6319,0,6629,0,0,10450,0,0,6631,0,13195,0,0,0,0,1361,0,0,0,0,0,0,0,24489,0,21900,0,0,0,0,18079,0,0,0,0,0,0,10606,0,0,0,8451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38338,34244,3906,7927,1677,0,21708,0,0,0,791,3324,0,0,0,0,216,0,0,2756,0,0,0,3439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,2622,0,2347,0,0,0,0,0,0,0,0,0,0,0,492,0,0
0,93010,12042,27048,4841,0,102494,0,0,0,1059,0,2476,0,0,31208,0,3830,0,18167,0,0,0,16627,0,0,0,0,0,0,0,0,0,0,15505,0,0,0,0,0,0,0,0,10,0,0,0,1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91262,140643,29968,36934,12038,0,171991,0,0,0,2767,6224,2825,0,0,30209,0,4478,0,15079,0,0,0,6034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181633,155871,29840,30167,22627,0,0,9166,0,0,1544,5886,2606,0,2291,0,1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56917,36186,3846,19925,3188,0,0,3593,0,0,1006,1936,1986,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197100,213242,50444,35755,21621,0,0,8160,0,0,2726,4479,1101,4028,5240,0,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,0,0,0,0,0,0,0,0,0,0,0,726,0,0,0,0,0
84115,69976,14029,14596,6430,0,0,5515,0,0,1040,2600,0,0,0,0,0,1024,0,0,3727,29834,0,0,1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2252,0,0,0,0,0,0,0,0,0,0,0,0
334705,395211,106133,60410,58654,0,0,34788,0,0,6704,5434,2995,14275,3419,0,2937,3551,0,0,27411,0,0,0,0,0,0,0,0,0,0,12738,0,0,0,0,0,0,0,0,0,0,0,0,0,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2737,1843,0,0,0,2345,0,0,0,0,0,0,0,0,0,0,0,0,0
8808,7886,0,2915,2763,0,0,0,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,0,0,0,0,0,0,0
10723,5186,966,2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
