UCD,PSOE,PCE,CD,CIU,UN,PSA-PA,PNV,PTE,HB,PSOE-H,ORT,ERFN,EE,MC-OIC,BNPG,C-UPC,BEAN,PG-POG-PSG,IR,PCARL,OCEBR-UCE,PCT,PAR,LCR,UFV,FJONSA,UPN,PSAR - PSDA,PANCAL,PLIB,URV,PNPV,UNAI,PRE,PDPCAN,SMIM,PSIN,ULE,E CATALA,P-CANT,CIC,DSCC,PPROV,ARDE,LC,CNA,FEA,PIPPA,POC,CIME,UF-FI-AT,FE-UF
29625,24891,3877,0,0,1061,0,26722,777,11594,683,1218,0,5442,1246,0,0,0,0,0,972,0,7,0,601,7205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0
50551,59863,10034,0,0,2397,0,87090,0,57811,0,2765,0,42293,4754,0,0,0,0,498,4124,0,0,0,2000,3419,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88431,105481,31942,0,0,7521,0,161480,0,80280,4131,2932,0,32363,7292,0,0,0,0,1229,1380,0,0,0,3039,23484,795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0
178229,178621,36090,25903,0,6925,0,0,1841,0,7784,4715,0,0,1157,0,0,0,0,0,1847,1684,1050,0,522,0,1469,0,0,0,0,0,0,0,0,0,0,0,0,0,6290,0,0,0,0,0,0,0,0,0,0,0,0
64735,39245,4810,18686,0,1569,0,0,1053,0,0,1546,0,0,982,0,0,0,0,462,583,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0
207570,218137,62018,28917,0,10759,0,0,1628,0,5196,3123,0,0,2534,0,0,2568,0,2439,925,922,3538,0,1017,0,1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111359,85727,17361,8382,0,5033,0,0,1012,0,2913,957,0,0,921,0,0,1060,0,887,1275,962,480,0,341,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0
364175,394813,145141,47017,0,27447,0,0,5076,0,11774,6636,0,0,8900,0,0,5992,0,6350,2329,1832,6657,0,2119,0,2324,0,0,0,2947,15694,13828,0,0,0,0,0,0,0,0,0,0,0,4119,0,0,0,0,0,0,0,0
11020,7502,0,1669,0,735,0,0,0,0,0,115,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9035,3750,793,848,0,429,0,0,353,0,0,46,0,0,180,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1820,0,0
