PSOE,AP-PDP-PL,CDS,CIU,IU,EAJ-PNV,HB,MUC,PRD,EE,PA,ERC,CG,PST,PAR,AIC,UV,PCC,PSG-EG,FE-JONS,UCE,UPV,AC-INC,LV,AV,VERDE,UPR,BNG,POSI,EU,PSPA,PSM-EN,CUN,PORE,PSDC,ADEI,CL,PREPAL,ENV-URV,LOC,PMCN,CN,PRM,PED,PANCAL,CA,PROV,AE-AIC,PAEC,EMK,LKI
58876,67128,9584,0,1823,0,0,675,0,0,0,0,24045,841,0,0,0,0,2702,241,369,0,0,0,0,0,422,2783,0,0,0,0,0,0,0,3857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143118,162434,36292,0,4754,0,0,4296,0,0,0,0,17321,3492,0,0,0,582,21115,864,881,0,0,0,0,1420,523,7864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1054730,826206,360246,0,155932,0,0,63928,36709,0,0,0,0,11282,0,0,0,296,0,7761,2737,0,0,18559,3478,7261,2191,0,1422,0,0,0,3080,2044,0,0,0,0,0,0,0,1886,0,0,0,0,0,0,0,0,0
97010,80922,26106,0,4244,4935,37998,1552,5481,7645,0,0,0,1202,0,0,0,0,0,0,618,0,0,0,0,0,446,0,349,0,0,0,0,0,0,0,0,0,0,0,1932,0,0,0,0,0,0,0,0,0,0
45259,21600,11951,0,1162,26030,16440,814,0,11081,0,0,0,533,0,0,0,0,0,0,333,0,0,0,0,0,193,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80336,28155,12487,0,2890,99515,80032,2578,0,37237,0,0,0,1105,0,0,0,0,0,0,449,0,0,0,0,0,482,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162323,65212,30286,0,9638,179130,97252,6863,0,51090,0,0,0,2659,0,0,0,0,0,751,1397,0,0,0,0,0,704,0,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261922,184109,44724,0,24222,0,0,3005,7067,0,0,0,0,1959,0,0,0,580,0,1488,1352,0,0,0,0,0,884,0,881,0,0,0,0,0,0,0,0,0,0,0,0,0,1401,0,0,0,0,0,0,0,0
65151,58177,14953,0,2961,0,0,1531,2824,0,0,0,0,0,0,0,0,190,0,372,524,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314763,188399,61446,0,31340,0,0,6031,11407,0,0,0,0,2730,0,0,1786,533,0,2071,1351,5735,0,5638,0,0,1038,0,827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119250,86032,23113,0,6155,0,0,3961,6447,0,0,0,0,1124,0,0,1351,0,0,509,528,5556,0,1448,0,0,573,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559426,328800,99175,0,60857,0,0,20095,9500,0,0,0,0,4759,0,0,61266,102,0,2537,2159,28973,0,4813,0,3025,1596,0,1014,0,0,0,0,0,0,0,0,0,2116,0,0,0,0,0,0,0,0,0,0,0,0
10937,8788,1928,0,351,0,0,0,499,0,0,0,0,117,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,0,601,0,0,0
7048,9082,2218,0,549,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
